0.99, 29
1.21, 36
1.42, 42
1.61, 48
1.78, 53
1.92, 57
2.04, 61
2.12, 63
2.18, 65
2.20, 65
2.19, 65
2.15, 64
2.08, 62
1.98, 59
1.85, 55
1.69, 50
1.51, 45
1.31, 39
1.09, 32
pixels =  1009
rows =  19
total_length =  33.3117140021
total_cost =  508.336755673
